permutation_score,type
0.4249206349206349,permutation
0.37238095238095237,permutation
0.2926984126984127,permutation
0.3279365079365079,permutation
0.2887301587301587,permutation
0.4276190476190476,permutation
0.38888888888888884,permutation
0.3707936507936508,permutation
0.2941269841269841,permutation
0.3273015873015873,permutation
0.3123809523809524,permutation
0.30841269841269836,permutation
0.22730158730158728,permutation
0.2538095238095238,permutation
0.24888888888888888,permutation
0.32746031746031745,permutation
0.26,permutation
0.41587301587301584,permutation
0.3011111111111111,permutation
0.2188888888888889,permutation
0.32142857142857145,permutation
0.3592063492063492,permutation
0.3168253968253968,permutation
0.3341269841269841,permutation
0.4514285714285714,permutation
0.3493650793650794,permutation
0.40952380952380957,permutation
0.2582539682539683,permutation
0.463015873015873,permutation
0.4426984126984127,permutation
0.3084126984126984,permutation
0.29888888888888887,permutation
0.267936507936508,permutation
0.23873015873015874,permutation
0.2644444444444444,permutation
0.21603174603174602,permutation
0.24492063492063493,permutation
0.37444444444444447,permutation
0.3468253968253968,permutation
0.3188888888888889,permutation
0.3484126984126984,permutation
0.27555555555555555,permutation
0.2861904761904762,permutation
0.4492063492063492,permutation
0.42952380952380953,permutation
0.375079365079365,permutation
0.3207936507936508,permutation
0.256031746031746,permutation
0.29761904761904756,permutation
0.3125396825396825,permutation
0.2914285714285714,permutation
0.3266666666666666,permutation
0.2442857142857143,permutation
0.3317460317460318,permutation
0.33206349206349206,permutation
0.28507936507936504,permutation
0.28809523809523807,permutation
0.3379365079365079,permutation
0.32682539682539685,permutation
0.309047619047619,permutation
0.3406349206349206,permutation
0.30174603174603176,permutation
0.1965079365079365,permutation
0.36476190476190473,permutation
0.2555555555555556,permutation
0.343968253968254,permutation
0.3146031746031746,permutation
0.333015873015873,permutation
0.28253968253968254,permutation
0.2426984126984127,permutation
0.2792063492063492,permutation
0.39444444444444443,permutation
0.45444444444444443,permutation
0.30126984126984124,permutation
0.29079365079365077,permutation
0.30428571428571427,permutation
0.36682539682539683,permutation
0.37492063492063493,permutation
0.3679365079365079,permutation
0.2061904761904762,permutation
0.26126984126984126,permutation
0.383015873015873,permutation
0.32285714285714284,permutation
0.32190476190476186,permutation
0.41349206349206347,permutation
0.4307936507936508,permutation
0.2344444444444444,permutation
0.3495238095238095,permutation
0.2817460317460317,permutation
0.4323809523809524,permutation
0.2442857142857143,permutation
0.3461904761904762,permutation
0.14253968253968252,permutation
0.39269841269841266,permutation
0.3317460317460318,permutation
0.376984126984127,permutation
0.36238095238095236,permutation
0.3798412698412698,permutation
0.2847619047619047,permutation
0.27206349206349206,permutation
0.27555555555555555,permutation
0.3311111111111111,permutation
0.37126984126984125,permutation
0.27936507936507937,permutation
0.31999999999999995,permutation
0.25,permutation
0.24841269841269842,permutation
0.3073015873015873,permutation
0.383015873015873,permutation
0.40523809523809523,permutation
0.3022222222222223,permutation
0.3028571428571428,permutation
0.21031746031746032,permutation
0.1626984126984127,permutation
0.2450793650793651,permutation
0.3385714285714286,permutation
0.28206349206349207,permutation
0.3901587301587302,permutation
0.36,permutation
0.530952380952381,permutation
0.25317460317460316,permutation
0.4049206349206349,permutation
0.3649206349206349,permutation
0.33428571428571424,permutation
0.4863492063492064,permutation
0.34523809523809523,permutation
0.3526984126984127,permutation
0.29079365079365077,permutation
0.30841269841269836,permutation
0.2995238095238095,permutation
0.35365079365079366,permutation
0.27825396825396825,permutation
0.4033333333333333,permutation
0.35571428571428576,permutation
0.3496825396825397,permutation
0.286031746031746,permutation
0.36158730158730157,permutation
0.37111111111111106,permutation
0.3633333333333333,permutation
0.3406349206349206,permutation
0.2515873015873016,permutation
0.1865079365079365,permutation
0.3522222222222222,permutation
0.3055555555555556,permutation
0.3109523809523809,permutation
0.29587301587301584,permutation
0.3484126984126984,permutation
0.30126984126984124,permutation
0.39206349206349206,permutation
0.3468253968253968,permutation
0.18936507936507935,permutation
0.3022222222222222,permutation
0.41999999999999993,permutation
0.23555555555555557,permutation
0.287936507936508,permutation
0.37539682539682534,permutation
0.3565079365079365,permutation
0.2753968253968254,permutation
0.22063492063492066,permutation
0.40269841269841267,permutation
0.26809523809523805,permutation
0.29174603174603175,permutation
0.22222222222222224,permutation
0.35888888888888887,permutation
0.33460317460317457,permutation
0.2731746031746032,permutation
0.4022222222222222,permutation
0.34317460317460313,permutation
0.35126984126984123,permutation
0.2617460317460317,permutation
0.3817460317460317,permutation
0.3892063492063492,permutation
0.4523809523809524,permutation
0.20952380952380953,permutation
0.3439682539682539,permutation
0.2188888888888889,permutation
0.23888888888888887,permutation
0.3704761904761905,permutation
0.363015873015873,permutation
0.46492063492063496,permutation
0.3453968253968254,permutation
0.23587301587301587,permutation
0.2846031746031746,permutation
0.3525396825396825,permutation
0.2706349206349206,permutation
0.2661904761904762,permutation
0.16857142857142854,permutation
0.29,permutation
0.3741269841269841,permutation
0.31253968253968256,permutation
0.37349206349206343,permutation
0.2912698412698413,permutation
0.2795238095238095,permutation
0.2833333333333333,permutation
0.26746031746031745,permutation
0.2949206349206349,permutation
0.3196825396825397,permutation
0.29682539682539677,permutation
0.31825396825396823,permutation
0.3271428571428571,permutation
0.233968253968254,permutation
0.39142857142857146,permutation
0.28888888888888886,permutation
0.3534920634920634,permutation
0.2628571428571429,permutation
0.3061904761904762,permutation
0.38349206349206344,permutation
0.42746031746031743,permutation
0.32571428571428573,permutation
0.3134920634920635,permutation
0.3895238095238095,permutation
0.33174603174603173,permutation
0.37984126984126987,permutation
0.2841269841269841,permutation
0.39809523809523806,permutation
0.31031746031746027,permutation
0.3792063492063492,permutation
0.1842857142857143,permutation
0.26301587301587304,permutation
0.3671428571428571,permutation
0.2957142857142857,permutation
0.40269841269841267,permutation
0.41904761904761906,permutation
0.3736507936507937,permutation
0.3079365079365079,permutation
0.1811111111111111,permutation
0.3584126984126984,permutation
0.31936507936507935,permutation
0.28174603174603174,permutation
0.30999999999999994,permutation
0.24095238095238095,permutation
0.33746031746031746,permutation
0.42000000000000004,permutation
0.22999999999999998,permutation
0.32936507936507936,permutation
0.4185714285714285,permutation
0.2931746031746032,permutation
0.2688888888888889,permutation
0.2322222222222222,permutation
0.29317460317460314,permutation
0.23952380952380953,permutation
0.41349206349206347,permutation
0.44253968253968257,permutation
0.36793650793650795,permutation
0.42968253968253967,permutation
0.39650793650793653,permutation
0.3001587301587302,permutation
0.29000000000000004,permutation
0.24555555555555558,permutation
0.3271428571428571,permutation
0.27222222222222225,permutation
0.41571428571428576,permutation
0.423015873015873,permutation
0.35174603174603175,permutation
0.3850793650793651,permutation
0.34349206349206346,permutation
0.353015873015873,permutation
0.4011111111111111,permutation
0.4033333333333333,permutation
0.3511111111111111,permutation
0.31047619047619046,permutation
0.3412698412698413,permutation
0.43015873015873013,permutation
0.21714285714285717,permutation
0.42507936507936506,permutation
0.3696825396825397,permutation
0.25047619047619046,permutation
0.23333333333333334,permutation
0.36682539682539683,permutation
0.30968253968253967,permutation
0.32396825396825396,permutation
0.2865079365079365,permutation
0.41571428571428565,permutation
0.2992063492063492,permutation
0.2361904761904762,permutation
0.2706349206349207,permutation
0.34015873015873016,permutation
0.2731746031746032,permutation
0.2442857142857143,permutation
0.4231746031746032,permutation
0.30666666666666664,permutation
0.25555555555555554,permutation
0.3449206349206349,permutation
0.09873015873015874,permutation
0.31857142857142856,permutation
0.3555555555555555,permutation
0.26936507936507936,permutation
0.37492063492063493,permutation
0.2788888888888889,permutation
0.23682539682539677,permutation
0.3307936507936508,permutation
0.333015873015873,permutation
0.3314285714285714,permutation
0.19555555555555554,permutation
0.32571428571428573,permutation
0.2666666666666667,permutation
0.34174603174603174,permutation
0.4314285714285714,permutation
0.33301587301587304,permutation
0.36317460317460315,permutation
0.2684126984126984,permutation
0.3750793650793651,permutation
0.3549206349206349,permutation
0.2733333333333333,permutation
0.37888888888888883,permutation
0.35349206349206347,permutation
0.27476190476190476,permutation
0.34365079365079365,permutation
0.2138095238095238,permutation
0.3895238095238095,permutation
0.39634920634920634,permutation
0.3152380952380952,permutation
0.3296825396825397,permutation
0.3974603174603174,permutation
0.44761904761904764,permutation
0.2866666666666667,permutation
0.23777777777777773,permutation
0.19333333333333333,permutation
0.3707936507936508,permutation
0.29841269841269835,permutation
0.31777777777777777,permutation
0.36333333333333334,permutation
0.27968253968253964,permutation
0.25253968253968256,permutation
0.27682539682539686,permutation
0.27349206349206345,permutation
0.3088888888888889,permutation
0.24238095238095236,permutation
0.3046031746031746,permutation
0.39301587301587304,permutation
0.2774603174603175,permutation
0.18841269841269842,permutation
0.33269841269841266,permutation
0.3666666666666667,permutation
0.2995238095238095,permutation
0.22476190476190477,permutation
0.27126984126984127,permutation
0.2806349206349206,permutation
0.4106349206349207,permutation
0.4147619047619047,permutation
0.37317460317460316,permutation
0.28809523809523807,permutation
0.3614285714285714,permutation
0.3487301587301587,permutation
0.29174603174603175,permutation
0.31222222222222223,permutation
0.3403174603174603,permutation
0.34190476190476193,permutation
0.3823809523809524,permutation
0.32396825396825396,permutation
0.28539682539682537,permutation
0.3361904761904762,permutation
0.30174603174603176,permutation
0.31285714285714283,permutation
0.23301587301587298,permutation
0.30682539682539683,permutation
0.3180952380952381,permutation
0.33301587301587304,permutation
0.336984126984127,permutation
0.24412698412698414,permutation
0.2819047619047619,permutation
0.2646031746031746,permutation
0.37571428571428567,permutation
0.2914285714285714,permutation
0.4284126984126984,permutation
0.29174603174603175,permutation
0.512063492063492,permutation
0.3803174603174603,permutation
0.303015873015873,permutation
0.3574603174603175,permutation
0.4041269841269841,permutation
0.23746031746031745,permutation
0.27174603174603174,permutation
0.3439682539682539,permutation
0.3684126984126984,permutation
0.3288888888888889,permutation
0.34349206349206346,permutation
0.43015873015873013,permutation
0.23206349206349203,permutation
0.3065079365079365,permutation
0.29460317460317464,permutation
0.3504761904761905,permutation
0.36126984126984124,permutation
0.2638095238095238,permutation
0.2684126984126984,permutation
0.30793650793650795,permutation
0.37507936507936507,permutation
0.3701587301587302,permutation
0.25999999999999995,permutation
0.3065079365079365,permutation
0.3823809523809524,permutation
0.20444444444444443,permutation
0.28253968253968254,permutation
0.3144444444444444,permutation
0.3388888888888889,permutation
0.3903174603174603,permutation
0.4585714285714285,permutation
0.41714285714285715,permutation
0.3896825396825397,permutation
0.36,permutation
0.3684126984126984,permutation
0.383015873015873,permutation
0.24031746031746035,permutation
0.28317460317460313,permutation
0.3473015873015873,permutation
0.35777777777777775,permutation
0.35349206349206347,permutation
0.3588888888888889,permutation
0.3568253968253968,permutation
0.3147619047619048,permutation
0.38634920634920633,permutation
0.2734920634920635,permutation
0.2995238095238095,permutation
0.35698412698412696,permutation
0.35904761904761906,permutation
0.32999999999999996,permutation
0.3053968253968254,permutation
0.36174603174603176,permutation
0.46841269841269845,permutation
0.38,permutation
0.3166666666666667,permutation
0.3028571428571428,permutation
0.3315873015873016,permutation
0.33539682539682547,permutation
0.38047619047619047,permutation
0.5074603174603174,permutation
0.34952380952380946,permutation
0.31492063492063493,permutation
0.1838095238095238,permutation
0.3553968253968254,permutation
0.2853968253968254,permutation
0.3541269841269842,permutation
0.5307936507936508,permutation
0.31492063492063493,permutation
0.3466666666666667,permutation
0.29825396825396827,permutation
0.3055555555555555,permutation
0.3163492063492063,permutation
0.3577777777777778,permutation
0.4276190476190476,permutation
0.28952380952380946,permutation
0.3011111111111111,permutation
0.28015873015873016,permutation
0.448095238095238,permutation
0.3498412698412699,permutation
0.33698412698412694,permutation
0.35523809523809524,permutation
0.3811111111111111,permutation
0.3146031746031746,permutation
0.3022222222222222,permutation
0.32666666666666666,permutation
0.3223809523809523,permutation
0.3631746031746032,permutation
0.32555555555555554,permutation
0.3495238095238095,permutation
0.2373015873015873,permutation
0.2619047619047619,permutation
0.3817460317460317,permutation
0.4450793650793651,permutation
0.30063492063492064,permutation
0.253015873015873,permutation
0.4073015873015873,permutation
0.26730158730158726,permutation
0.37492063492063493,permutation
0.2744444444444444,permutation
0.3219047619047619,permutation
0.26952380952380955,permutation
0.32539682539682546,permutation
0.2771428571428572,permutation
0.33412698412698416,permutation
0.3358730158730159,permutation
0.4019047619047619,permutation
0.4314285714285715,permutation
0.4685714285714285,permutation
0.3785714285714285,permutation
0.39634920634920634,permutation
0.2452380952380952,permutation
0.37396825396825395,permutation
0.30142857142857143,permutation
0.3496825396825397,permutation
0.24285714285714283,permutation
0.406031746031746,permutation
0.2993650793650794,permutation
0.3377777777777778,permutation
0.283968253968254,permutation
0.3179365079365079,permutation
0.39,permutation
0.33,permutation
0.2844444444444444,permutation
0.3709523809523809,permutation
0.3,permutation
0.31047619047619046,permutation
0.316984126984127,permutation
0.2777777777777778,permutation
0.3196825396825397,permutation
0.1634920634920635,permutation
0.325079365079365,permutation
0.3161904761904762,permutation
0.37746031746031744,permutation
0.303015873015873,permutation
0.21650793650793654,permutation
0.2633333333333333,permutation
0.2984126984126984,permutation
0.3490476190476191,permutation
0.4606349206349206,permutation
0.396984126984127,permutation
0.3192063492063492,permutation
0.31238095238095237,permutation
0.35587301587301584,permutation
0.37285714285714283,permutation
0.3757142857142857,permutation
0.3485714285714286,permutation
0.33,permutation
0.2480952380952381,permutation
0.37126984126984125,permutation
0.33190476190476187,permutation
0.36253968253968255,permutation
0.3479365079365079,permutation
0.3226984126984127,permutation
0.27444444444444444,permutation
0.3195238095238095,permutation
0.434920634920635,permutation
0.3298412698412698,permutation
0.3438095238095238,permutation
0.2477777777777778,permutation
0.282063492063492,permutation
0.2893650793650794,permutation
0.26761904761904765,permutation
0.2895238095238095,permutation
0.3611111111111111,permutation
0.29238095238095235,permutation
0.2638095238095238,permutation
0.2265079365079365,permutation
0.3711111111111111,permutation
0.31253968253968256,permutation
0.20825396825396822,permutation
0.3511111111111111,permutation
0.2592063492063492,permutation
0.2649206349206349,permutation
0.29714285714285715,permutation
0.279047619047619,permutation
0.3709523809523809,permutation
0.3361904761904762,permutation
0.3180952380952381,permutation
0.3661904761904762,permutation
0.26222222222222225,permutation
0.4136507936507936,permutation
0.3339682539682539,permutation
0.4280952380952381,permutation
0.2733333333333333,permutation
0.3482539682539682,permutation
0.4288888888888889,permutation
0.23952380952380953,permutation
0.3161904761904762,permutation
0.31142857142857144,permutation
0.3338095238095238,permutation
0.4114285714285715,permutation
0.28285714285714286,permutation
0.38015873015873014,permutation
0.4161904761904762,permutation
0.34317460317460313,permutation
0.3576190476190476,permutation
0.3773015873015873,permutation
0.31920634920634916,permutation
0.3607936507936508,permutation
0.27603174603174596,permutation
0.3763492063492063,permutation
0.36904761904761907,permutation
0.2646031746031746,permutation
0.3112698412698413,permutation
0.33031746031746023,permutation
0.466984126984127,permutation
0.28777777777777774,permutation
0.4212698412698413,permutation
0.34428571428571425,permutation
0.3714285714285714,permutation
0.27396825396825397,permutation
0.42936507936507934,permutation
0.3974603174603174,permutation
0.21047619047619048,permutation
0.28190476190476194,permutation
0.2855555555555555,permutation
0.36301587301587296,permutation
0.30095238095238097,permutation
0.3765079365079365,permutation
0.3079365079365079,permutation
0.2657142857142857,permutation
0.24063492063492067,permutation
0.2736507936507937,permutation
0.44841269841269843,permutation
0.3788888888888889,permutation
0.34317460317460313,permutation
0.28888888888888886,permutation
0.4322222222222223,permutation
0.3068253968253968,permutation
0.2517460317460317,permutation
0.22904761904761903,permutation
0.32206349206349205,permutation
0.2968253968253968,permutation
0.34714285714285714,permutation
0.30428571428571427,permutation
0.39365079365079364,permutation
0.2961904761904762,permutation
0.27444444444444444,permutation
0.41158730158730156,permutation
0.2728571428571428,permutation
0.3284126984126984,permutation
0.29460317460317464,permutation
0.23222222222222225,permutation
0.2333333333333333,permutation
0.4442857142857143,permutation
0.30206349206349203,permutation
0.36476190476190473,permutation
0.30111111111111105,permutation
0.31031746031746027,permutation
0.22206349206349207,permutation
0.4341269841269842,permutation
0.28285714285714286,permutation
0.24047619047619045,permutation
0.29936507936507933,permutation
0.2188888888888889,permutation
0.3365079365079365,permutation
0.35460317460317464,permutation
0.3412698412698413,permutation
0.45460317460317456,permutation
0.3568253968253968,permutation
0.3211111111111111,permutation
0.293968253968254,permutation
0.23253968253968252,permutation
0.36238095238095236,permutation
0.3141269841269841,permutation
0.2712698412698412,permutation
0.4185714285714286,permutation
0.27285714285714285,permutation
0.3342857142857143,permutation
0.2695238095238095,permutation
0.37142857142857144,permutation
0.399047619047619,permutation
0.3304761904761905,permutation
0.3176190476190476,permutation
0.31079365079365073,permutation
0.423968253968254,permutation
0.2523809523809524,permutation
0.373015873015873,permutation
0.3358730158730158,permutation
0.2957142857142857,permutation
0.30095238095238097,permutation
0.3974603174603174,permutation
0.2773015873015873,permutation
0.3701587301587302,permutation
0.276984126984127,permutation
0.27444444444444444,permutation
0.30920634920634915,permutation
0.19174603174603178,permutation
0.2617460317460317,permutation
0.3584126984126984,permutation
0.4182539682539682,permutation
0.2009523809523809,permutation
0.2733333333333333,permutation
0.29333333333333333,permutation
0.3492063492063492,permutation
0.4871428571428571,permutation
0.3165079365079365,permutation
0.36523809523809525,permutation
0.3628571428571429,permutation
0.22936507936507936,permutation
0.36904761904761907,permutation
0.2692063492063492,permutation
0.3176190476190476,permutation
0.2947619047619048,permutation
0.22190476190476188,permutation
0.3642857142857142,permutation
0.39746031746031746,permutation
0.2873015873015873,permutation
0.2807936507936508,permutation
0.3725396825396825,permutation
0.3628571428571429,permutation
0.4201587301587302,permutation
0.4515873015873016,permutation
0.25222222222222224,permutation
0.2604761904761905,permutation
0.3193650793650794,permutation
0.49984126984126986,permutation
0.3950793650793651,permutation
0.3187301587301587,permutation
0.30365079365079367,permutation
0.32587301587301587,permutation
0.18793650793650793,permutation
0.28714285714285714,permutation
0.34634920634920635,permutation
0.34888888888888886,permutation
0.3063492063492063,permutation
0.3222222222222223,permutation
0.31174603174603177,permutation
0.31920634920634916,permutation
0.333015873015873,permutation
0.3419047619047619,permutation
0.3185714285714286,permutation
0.2668253968253968,permutation
0.2779365079365079,permutation
0.3603174603174603,permutation
0.27984126984126984,permutation
0.2811111111111111,permutation
0.43619047619047613,permutation
0.2807936507936508,permutation
0.3053968253968254,permutation
0.31190476190476185,permutation
0.33904761904761904,permutation
0.33460317460317457,permutation
0.42746031746031743,permutation
0.3223809523809524,permutation
0.36412698412698413,permutation
0.30174603174603176,permutation
0.23650793650793647,permutation
0.3412698412698412,permutation
0.2607936507936508,permutation
0.35158730158730156,permutation
0.2636507936507937,permutation
0.2884126984126984,permutation
0.38365079365079363,permutation
0.28460317460317464,permutation
0.39412698412698405,permutation
0.28682539682539676,permutation
0.3288888888888889,permutation
0.24158730158730157,permutation
0.3661904761904762,permutation
0.3380952380952381,permutation
0.24666666666666667,permutation
0.33999999999999997,permutation
0.22714285714285715,permutation
0.23984126984126983,permutation
0.34365079365079365,permutation
0.3141269841269841,permutation
0.3188888888888889,permutation
0.3325396825396825,permutation
0.2784126984126984,permutation
0.4661904761904762,permutation
0.39095238095238094,permutation
0.329047619047619,permutation
0.21904761904761902,permutation
0.3047619047619048,permutation
0.37714285714285717,permutation
0.4766666666666667,permutation
0.3238095238095238,permutation
0.31507936507936507,permutation
0.2584126984126984,permutation
0.4074603174603174,permutation
0.30333333333333334,permutation
0.25317460317460316,permutation
0.2887301587301587,permutation
0.29888888888888887,permutation
0.39920634920634923,permutation
0.20857142857142855,permutation
0.32285714285714284,permutation
0.24841269841269836,permutation
0.23793650793650795,permutation
0.2215873015873016,permutation
0.2812698412698412,permutation
0.4066666666666666,permutation
0.2949206349206349,permutation
0.25555555555555554,permutation
0.5633333333333332,permutation
0.2550793650793651,permutation
0.2373015873015873,permutation
0.36253968253968255,permutation
0.2373015873015873,permutation
0.27666666666666667,permutation
0.4117460317460318,permutation
0.3553968253968253,permutation
0.28793650793650793,permutation
0.25285714285714284,permutation
0.3814285714285714,permutation
0.3314285714285714,permutation
0.2806349206349207,permutation
0.37047619047619046,permutation
0.41412698412698407,permutation
0.26857142857142857,permutation
0.27761904761904765,permutation
0.37476190476190474,permutation
0.27111111111111114,permutation
0.2949206349206349,permutation
0.3817460317460318,permutation
0.3692063492063492,permutation
0.26285714285714284,permutation
0.31396825396825395,permutation
0.3880952380952381,permutation
0.5166666666666667,permutation
0.23126984126984124,permutation
0.3338095238095238,permutation
0.2725396825396825,permutation
0.4617460317460318,permutation
0.3450793650793651,permutation
0.38222222222222224,permutation
0.2549206349206349,permutation
0.26206349206349205,permutation
0.2944444444444444,permutation
0.26936507936507936,permutation
0.3576190476190476,permutation
0.23968253968253966,permutation
0.22126984126984128,permutation
0.2574603174603175,permutation
0.3349206349206349,permutation
0.3122222222222223,permutation
0.483015873015873,permutation
0.40428571428571425,permutation
0.27142857142857146,permutation
0.2855555555555555,permutation
0.34968253968253965,permutation
0.2677777777777778,permutation
0.4523809523809524,permutation
0.36571428571428577,permutation
0.36174603174603176,permutation
0.38698412698412704,permutation
0.4136507936507936,permutation
0.29555555555555557,permutation
0.38539682539682535,permutation
0.3885714285714286,permutation
0.32492063492063494,permutation
0.4168253968253969,permutation
0.3195238095238095,permutation
0.33285714285714285,permutation
0.44904761904761914,permutation
0.3355555555555555,permutation
0.29904761904761906,permutation
0.2865079365079365,permutation
0.16555555555555554,permutation
0.2384126984126984,permutation
0.3433333333333334,permutation
0.239047619047619,permutation
0.30619047619047624,permutation
0.3466666666666667,permutation
0.2953968253968254,permutation
0.3101587301587302,permutation
0.2580952380952381,permutation
0.3412698412698413,permutation
0.33015873015873015,permutation
0.2598412698412699,permutation
0.4066666666666666,permutation
0.27904761904761904,permutation
0.3695238095238095,permutation
0.2477777777777778,permutation
0.359047619047619,permutation
0.3857142857142857,permutation
0.3993650793650793,permutation
0.3034920634920634,permutation
0.29603174603174603,permutation
0.3468253968253968,permutation
0.2987301587301587,permutation
0.3361904761904762,permutation
0.2861904761904762,permutation
0.35285714285714287,permutation
0.3828571428571429,permutation
0.24904761904761905,permutation
0.3166666666666667,permutation
0.22555555555555556,permutation
0.33952380952380945,permutation
0.23142857142857146,permutation
0.2728571428571428,permutation
0.24571428571428572,permutation
0.48650793650793644,permutation
0.24825396825396825,permutation
0.35,permutation
0.29793650793650794,permutation
0.31841269841269837,permutation
0.346984126984127,permutation
0.29682539682539677,permutation
0.4309523809523809,permutation
0.28,permutation
0.38396825396825396,permutation
0.2812698412698413,permutation
0.2552380952380952,permutation
0.3071428571428571,permutation
0.423968253968254,permutation
0.206031746031746,permutation
0.2641269841269841,permutation
0.44603174603174606,permutation
0.2906349206349206,permutation
0.31269841269841275,permutation
0.3255555555555556,permutation
0.40444444444444444,permutation
0.29015873015873017,permutation
0.37793650793650796,permutation
0.363015873015873,permutation
0.3479365079365079,permutation
0.3563492063492064,permutation
0.376984126984127,permutation
0.4196825396825397,permutation
0.35587301587301584,permutation
0.2653968253968254,permutation
0.37238095238095237,permutation
0.35349206349206347,permutation
0.409047619047619,permutation
0.33444444444444443,permutation
0.3022222222222222,permutation
0.3157142857142857,permutation
0.3738095238095238,permutation
0.35523809523809524,permutation
0.2646031746031746,permutation
0.31730158730158725,permutation
0.3001587301587302,permutation
0.45984126984126983,permutation
0.4007936507936508,permutation
0.26142857142857145,permutation
0.2520634920634921,permutation
0.3306349206349206,permutation
0.3279365079365079,permutation
0.2722222222222222,permutation
0.2779365079365079,permutation
0.38349206349206344,permutation
0.3107936507936508,permutation
0.28888888888888886,permutation
0.3433333333333334,permutation
0.3065079365079365,permutation
0.40634920634920635,permutation
0.2119047619047619,permutation
0.3085714285714286,permutation
0.33365079365079364,permutation
0.423968253968254,permutation
0.32063492063492066,permutation
0.4377777777777778,permutation
0.3592063492063492,permutation
0.3379365079365079,permutation
0.38555555555555554,permutation
0.35396825396825393,permutation
0.31492063492063493,permutation
0.39365079365079364,permutation
0.3019047619047619,permutation
0.3385714285714286,permutation
0.3611111111111111,permutation
0.42634920634920637,permutation
0.4185714285714285,permutation
0.3504761904761905,permutation
0.39269841269841266,permutation
0.38968253968253963,permutation
0.3568253968253968,permutation
0.32333333333333336,permutation
0.29047619047619044,permutation
0.37031746031746027,permutation
0.2650793650793651,permutation
0.22063492063492066,permutation
0.2668253968253968,permutation
0.39539682539682536,permutation
0.3206349206349206,permutation
0.3287301587301587,permutation
0.319047619047619,permutation
0.3314285714285714,permutation
0.37968253968253973,permutation
0.3546031746031746,permutation
0.3887301587301587,permutation
0.45015873015873015,permutation
0.31253968253968256,permutation
0.379047619047619,permutation
0.276984126984127,permutation
0.22396825396825398,permutation
0.2906349206349207,permutation
0.36000000000000004,permutation
0.31507936507936507,permutation
0.20206349206349206,permutation
0.2984126984126984,permutation
0.3396825396825397,permutation
0.2766666666666667,permutation
0.4292063492063492,permutation
0.4074603174603174,permutation
0.26301587301587304,permutation
0.30666666666666664,permutation
0.33396825396825397,permutation
0.4860317460317461,permutation
0.3180952380952381,permutation
0.3844444444444445,permutation
0.37555555555555553,permutation
0.19063492063492063,permutation
0.3001587301587302,permutation
0.27999999999999997,permutation
0.326984126984127,permutation
0.34523809523809523,permutation
0.43698412698412703,permutation
0.2503174603174603,permutation
0.32063492063492066,permutation
0.3266666666666666,permutation
0.34698412698412695,permutation
0.3796825396825397,permutation
0.43666666666666665,permutation
0.3512698412698413,permutation
0.35111111111111104,permutation
0.27380952380952384,permutation
0.2606349206349206,permutation
0.35126984126984123,permutation
0.34365079365079365,permutation
0.24936507936507937,permutation
0.41634920634920636,permutation
0.44222222222222224,permutation
0.31063492063492065,permutation
0.2847619047619047,permutation
0.28301587301587305,permutation
0.3703174603174603,permutation
0.34952380952380946,permutation
0.2974603174603174,permutation
0.29063492063492063,permutation
0.2276190476190476,permutation
0.27428571428571424,permutation
0.6973015873015873,observed
