File_Name,Model,Optimized_Parameters,MAE
data/drug_release/3..csv,zero_order,[1.749],3.4390480324606285
data/drug_release/3..csv,first_order,[0.019],3.2441308089363456
data/drug_release/3..csv,higuchi,[4.811],1.306397584827626
data/drug_release/3..csv,korsmeyer_Peppas,[6.745 0.295],0.847298930388589
data/drug_release/3..csv,weibull,[14.283  0.307],0.8692068499604338
data/drug_release/3..csv,reciprocal,[10.678  0.745],1.5269831917856398
data/drug_release/4..csv,zero_order,[0.835],1.6738775652034659
data/drug_release/4..csv,first_order,[0.009],1.6297364420196292
data/drug_release/4..csv,higuchi,[2.33],0.6582603154309717
data/drug_release/4..csv,korsmeyer_Peppas,[3.276 0.296],0.31266280449511863
data/drug_release/4..csv,weibull,[30.03   0.304],0.31237962099937305
data/drug_release/4..csv,reciprocal,[6.041 0.894],0.2694998246442457
data/drug_release/23..csv,zero_order,[146.957],40.23784639736476
data/drug_release/23..csv,first_order,[11.284],14.069423278055622
data/drug_release/23..csv,higuchi,[136.52],27.287094198779407
data/drug_release/23..csv,korsmeyer_Peppas,[119.844   0.317],24.840241072861943
data/drug_release/23..csv,weibull,[0.    3.823],1.583401361871829
data/drug_release/23..csv,reciprocal,[1339.761   11.025],18.153940456625737
data/drug_release/24..csv,zero_order,[148.988],41.41547879937218
data/drug_release/24..csv,first_order,[12.002],15.021900760837966
data/drug_release/24..csv,higuchi,[138.883],28.141951308673118
data/drug_release/24..csv,korsmeyer_Peppas,[121.629   0.313],25.58342861685879
data/drug_release/24..csv,weibull,[0.    4.223],1.5880592685087354
data/drug_release/24..csv,reciprocal,[1416.135   11.536],18.957387787627646
data/drug_release/27..csv,zero_order,[130.188],30.29071279334558
data/drug_release/27..csv,first_order,[5.76],6.27600473698613
data/drug_release/27..csv,higuchi,[116.572],15.892515851130478
data/drug_release/27..csv,korsmeyer_Peppas,[107.762   0.38 ],12.580035213614757
data/drug_release/27..csv,weibull,[0.128 1.147],6.802208256173546
data/drug_release/27..csv,reciprocal,[754.878   6.505],6.7942595934569185
data/drug_release/28..csv,zero_order,[138.103],36.416465331233894
data/drug_release/28..csv,first_order,[8.618],8.38362935207272
data/drug_release/28..csv,higuchi,[126.307],20.676289574372724
data/drug_release/28..csv,korsmeyer_Peppas,[111.355   0.311],15.130102405259692
data/drug_release/28..csv,weibull,[0.06  1.259],9.516699846235499
data/drug_release/28..csv,reciprocal,[1165.177   10.3  ],8.739578704809261
data/drug_release/31..csv,zero_order,[136.076],36.71680725263906
data/drug_release/31..csv,first_order,[8.34],8.74955159737006
data/drug_release/31..csv,higuchi,[124.535],21.292159418228625
data/drug_release/31..csv,korsmeyer_Peppas,[109.392   0.307],15.814854409367008
data/drug_release/31..csv,weibull,[0.026 1.62 ],9.283006277006715
data/drug_release/31..csv,reciprocal,[1123.317   10.003],10.543091710486484
data/drug_release/32..csv,zero_order,[142.502],39.37382759262301
data/drug_release/32..csv,first_order,[9.579],8.134011961233943
data/drug_release/32..csv,higuchi,[130.876],23.184203239833764
data/drug_release/32..csv,korsmeyer_Peppas,[114.397   0.3  ],17.207139082306693
data/drug_release/32..csv,weibull,[0.    4.161],4.040768665244761
data/drug_release/32..csv,reciprocal,[1230.935   10.523],10.615755828100097
data/drug_release/33..csv,zero_order,[10.31],1.9140071842855941
data/drug_release/33..csv,first_order,[0.109],1.8534506438701188
data/drug_release/33..csv,higuchi,[9.024],0.436008661161842
data/drug_release/33..csv,korsmeyer_Peppas,[8.519 0.416],0.3806992848142417
data/drug_release/33..csv,weibull,[11.242  0.427],0.3722468620377621
data/drug_release/33..csv,reciprocal,[49.082  5.191],0.28390329525167174
data/drug_release/34..csv,zero_order,[42.474],12.146543178886455
data/drug_release/34..csv,first_order,[0.581],10.514446036459466
data/drug_release/34..csv,higuchi,[39.314],6.524085725708126
data/drug_release/34..csv,korsmeyer_Peppas,[33.936  0.283],4.577729862305251
data/drug_release/34..csv,weibull,[2.402 0.332],4.466193737592457
data/drug_release/34..csv,reciprocal,[386.603  11.103],2.790322214671439
data/drug_release/35..csv,zero_order,[131.057],30.251488090740803
data/drug_release/35..csv,first_order,[5.61],6.340857457206044
data/drug_release/35..csv,higuchi,[116.829],15.89182945056451
data/drug_release/35..csv,korsmeyer_Peppas,[108.625   0.389],12.849897000423658
data/drug_release/35..csv,weibull,[0.118 1.207],6.72730647335226
data/drug_release/35..csv,reciprocal,[716.794   6.052],7.227171088676669
data/drug_release/36..csv,zero_order,[138.714],36.3040575599284
data/drug_release/36..csv,first_order,[8.21],8.306251874715363
data/drug_release/36..csv,higuchi,[126.47],20.753015250249472
data/drug_release/36..csv,korsmeyer_Peppas,[111.865   0.317],15.417094570251043
data/drug_release/36..csv,weibull,[0.046 1.392],9.665036653983352
data/drug_release/36..csv,reciprocal,[1081.121    9.371],9.34688019170838
data/drug_release/47..csv,zero_order,[1.08],15.055273504092769
data/drug_release/47..csv,first_order,[0.017],13.111371181198555
data/drug_release/47..csv,higuchi,[7.282],7.832960548152589
data/drug_release/47..csv,korsmeyer_Peppas,[18.947  0.196],2.1686292985113345
data/drug_release/47..csv,weibull,[4.876 0.239],2.027928395768019
data/drug_release/47..csv,reciprocal,[20.583  0.527],0.41168204428892785
data/drug_release/50..csv,zero_order,[1.289],13.15455409790558
data/drug_release/50..csv,first_order,[0.021],10.632386247549286
data/drug_release/50..csv,higuchi,[8.362],6.941858907732832
data/drug_release/50..csv,korsmeyer_Peppas,[13.556  0.352],4.493140697356552
data/drug_release/50..csv,weibull,[7.22  0.435],4.375519866881057
data/drug_release/50..csv,reciprocal,[12.632  0.243],4.425135061444029
data/drug_release/53..csv,zero_order,[1.29],15.49304292143168
data/drug_release/53..csv,first_order,[0.022],12.800025393657782
data/drug_release/53..csv,higuchi,[8.507],8.593968373585344
data/drug_release/53..csv,korsmeyer_Peppas,[15.953  0.306],5.1113065593998614
data/drug_release/53..csv,weibull,[6.004 0.382],4.9764311884488865
data/drug_release/53..csv,reciprocal,[16.717  0.336],4.526701101882213
data/drug_release/54..csv,zero_order,[0.178],1.0005065529431152
data/drug_release/54..csv,first_order,[0.002],0.990839717257966
data/drug_release/54..csv,higuchi,[0.804],0.4332089868153748
data/drug_release/54..csv,korsmeyer_Peppas,[1.55  0.241],0.12250548255978033
data/drug_release/54..csv,weibull,[64.079  0.244],0.12244112388634254
data/drug_release/54..csv,reciprocal,[2.006 0.609],0.19188333475487654
data/drug_release/56..csv,zero_order,[0.716],5.43106033535302
data/drug_release/56..csv,first_order,[0.009],4.847661748140857
data/drug_release/56..csv,higuchi,[4.513],1.2104336804661573
data/drug_release/56..csv,korsmeyer_Peppas,[5.912 0.418],0.9843369376778113
data/drug_release/56..csv,weibull,[17.093  0.464],1.0091315798223046
data/drug_release/56..csv,reciprocal,[3.644 0.108],1.7636548432847061
data/drug_release/57..csv,zero_order,[0.43],1.4169950358006094
data/drug_release/57..csv,first_order,[0.005],1.2548194613858576
data/drug_release/57..csv,higuchi,[2.523],1.657307252072031
data/drug_release/57..csv,korsmeyer_Peppas,[1.092 0.746],0.7206393607757912
data/drug_release/57..csv,weibull,[97.576  0.79 ],0.674020378117104
data/drug_release/57..csv,reciprocal,[0.758 0.019],0.4970423789828327
data/drug_release/58..csv,zero_order,[0.472],0.44693997259250934
data/drug_release/58..csv,first_order,[0.005],0.3969395527555051
data/drug_release/58..csv,higuchi,[1.893],0.8111330358921026
data/drug_release/58..csv,korsmeyer_Peppas,[0.794 0.818],0.2663926210723701
data/drug_release/58..csv,weibull,[130.63    0.846],0.2558130087524028
data/drug_release/58..csv,reciprocal,[0.632 0.019],0.21104763977858487
data/drug_release/59..csv,zero_order,[4.884],7.719371967723075
data/drug_release/59..csv,first_order,[0.1],5.462196577457075
data/drug_release/59..csv,higuchi,[19.736],6.949155137442556
data/drug_release/59..csv,korsmeyer_Peppas,[11.098  0.712],4.22734926018377
data/drug_release/59..csv,weibull,[28.429  1.432],1.3619942045796756
data/drug_release/59..csv,reciprocal,[8.126 0.037],2.848029477573782
data/drug_release/60..csv,zero_order,[5.41],32.78241102686541
data/drug_release/60..csv,first_order,[0.523],8.903341748221788
data/drug_release/60..csv,higuchi,[23.599],19.41078210785226
data/drug_release/60..csv,korsmeyer_Peppas,[69.757  0.091],4.673696812991343
data/drug_release/60..csv,weibull,[0.992 0.313],4.129013851803718
data/drug_release/60..csv,reciprocal,[152.645   1.634],2.8389958086478515
data/drug_release/61..csv,zero_order,[4.807],7.499095932781454
data/drug_release/61..csv,first_order,[0.097],5.407844056720938
data/drug_release/61..csv,higuchi,[19.491],7.066157701838261
data/drug_release/61..csv,korsmeyer_Peppas,[10.741  0.719],4.202512592950507
data/drug_release/61..csv,weibull,[28.911  1.426],1.3267752744464385
data/drug_release/61..csv,reciprocal,[7.911 0.036],2.811302675369106
data/drug_release/62..csv,zero_order,[6.006],23.66413081935936
data/drug_release/62..csv,first_order,[0.237],6.525151833276493
data/drug_release/62..csv,higuchi,[25.34],12.205201394419907
data/drug_release/62..csv,korsmeyer_Peppas,[34.516  0.385],10.537279540167379
data/drug_release/62..csv,weibull,[17.911  1.896],2.1204339122148266
data/drug_release/62..csv,reciprocal,[26.543  0.197],6.633113321666128
data/drug_release/70..csv,zero_order,[2.389],6.211082020497592
data/drug_release/70..csv,first_order,[0.032],4.2926604655863585
data/drug_release/70..csv,higuchi,[9.851],1.064964521265182
data/drug_release/70..csv,korsmeyer_Peppas,[10.294  0.484],1.1019709056226386
data/drug_release/70..csv,weibull,[10.181  0.589],1.3260825055167478
data/drug_release/70..csv,reciprocal,[6.253 0.093],2.0349054823911956
data/drug_release/71..csv,zero_order,[3.779],6.349272819014748
data/drug_release/71..csv,first_order,[0.063],1.9987466062812311
data/drug_release/71..csv,higuchi,[15.347],3.9761827304390986
data/drug_release/71..csv,korsmeyer_Peppas,[9.859 0.663],1.3158274319960395
data/drug_release/71..csv,weibull,[14.896  0.974],1.9821081654585453
data/drug_release/71..csv,reciprocal,[6.511 0.041],1.7984971823027396
data/drug_release/72..csv,zero_order,[3.599],3.2177757069001522
data/drug_release/72..csv,first_order,[0.057],2.4190136075735498
data/drug_release/72..csv,higuchi,[14.46],6.116027921719864
data/drug_release/72..csv,korsmeyer_Peppas,[6.155 0.812],1.351298536778922
data/drug_release/72..csv,weibull,[28.515  1.18 ],1.0760939591464138
data/drug_release/72..csv,reciprocal,[4.834 0.019],1.0085654628346572
data/drug_release/73..csv,zero_order,[4.2],10.99776235924482
data/drug_release/73..csv,first_order,[0.081],2.854433805796962
data/drug_release/73..csv,higuchi,[17.33],3.5585264778914785
data/drug_release/73..csv,korsmeyer_Peppas,[16.076  0.528],3.647302752032183
data/drug_release/73..csv,weibull,[8.632 0.856],2.0691796311753454
data/drug_release/73..csv,reciprocal,[10.975  0.092],1.9373405879887888
data/drug_release/74..csv,zero_order,[5.576],14.375444400139452
data/drug_release/74..csv,first_order,[0.147],6.658008426902493
data/drug_release/74..csv,higuchi,[22.97],7.060794058641072
data/drug_release/74..csv,korsmeyer_Peppas,[19.42   0.562],6.868652750308804
data/drug_release/74..csv,weibull,[21.279  1.532],2.468728515735185
data/drug_release/74..csv,reciprocal,[13.262  0.078],4.434203222496539
data/drug_release/75..csv,zero_order,[5.947],27.802284075407204
data/drug_release/75..csv,first_order,[0.31],2.0241070291839556
data/drug_release/75..csv,higuchi,[25.403],12.909812795270753
data/drug_release/75..csv,korsmeyer_Peppas,[49.093  0.254],6.326576373571566
data/drug_release/75..csv,weibull,[3.294 1.014],1.96724683356233
data/drug_release/75..csv,reciprocal,[45.735  0.394],3.231082146578467
data/drug_release/76..csv,zero_order,[3.58],2.638304986560064
data/drug_release/76..csv,first_order,[0.056],2.9138824391805564
data/drug_release/76..csv,higuchi,[14.32],6.702154391900315
data/drug_release/76..csv,korsmeyer_Peppas,[5.497 0.85 ],1.490788445348245
data/drug_release/76..csv,weibull,[33.329  1.233],0.9505428893573286
data/drug_release/76..csv,reciprocal,[4.544 0.015],1.1363237753378437
data/drug_release/77..csv,zero_order,[4.9],7.567315464330277
data/drug_release/77..csv,first_order,[0.1],5.766755941816388
data/drug_release/77..csv,higuchi,[19.773],7.234334060169724
data/drug_release/77..csv,korsmeyer_Peppas,[10.765  0.724],4.445493987974141
data/drug_release/77..csv,weibull,[30.481  1.462],1.2018850275111983
data/drug_release/77..csv,reciprocal,[8.002 0.036],2.9894493608682846
data/drug_release/78..csv,zero_order,[5.629],14.138799061102423
data/drug_release/78..csv,first_order,[0.147],7.25526530552798
data/drug_release/78..csv,higuchi,[23.081],7.545348747814928
data/drug_release/78..csv,korsmeyer_Peppas,[18.781  0.576],7.260900220424831
data/drug_release/78..csv,weibull,[25.301  1.612],2.4912746762007982
data/drug_release/78..csv,reciprocal,[12.936  0.074],4.73800678617757
data/drug_release/79..csv,zero_order,[4.839],26.29965814233072
data/drug_release/79..csv,first_order,[0.247],2.95338827606147
data/drug_release/79..csv,higuchi,[22.839],11.592175943896475
data/drug_release/79..csv,korsmeyer_Peppas,[32.115  0.354],9.448812213207852
data/drug_release/79..csv,weibull,[4.514 1.099],2.1961347429600577
data/drug_release/79..csv,reciprocal,[34.133  0.322],4.700972972990802
data/drug_release/80..csv,zero_order,[4.668],24.951104565552917
data/drug_release/80..csv,first_order,[0.226],3.0845588473494945
data/drug_release/80..csv,higuchi,[21.944],10.326041138050002
data/drug_release/80..csv,korsmeyer_Peppas,[30.613  0.357],8.988241826816845
data/drug_release/80..csv,weibull,[4.699 1.055],2.82746660201739
data/drug_release/80..csv,reciprocal,[31.8    0.309],4.469574046955969
data/drug_release/81..csv,zero_order,[4.234],22.229800563761096
data/drug_release/81..csv,first_order,[0.187],3.860888750459384
data/drug_release/81..csv,higuchi,[19.73],9.740079854881559
data/drug_release/81..csv,korsmeyer_Peppas,[25.632  0.388],9.375006253844415
data/drug_release/81..csv,weibull,[4.055 0.728],5.851845404017235
data/drug_release/81..csv,reciprocal,[27.646  0.293],4.23790236919066
data/drug_release/82..csv,zero_order,[4.685],25.87825796394535
data/drug_release/82..csv,first_order,[0.236],3.1845426457624018
data/drug_release/82..csv,higuchi,[22.157],11.000086558282097
data/drug_release/82..csv,korsmeyer_Peppas,[30.562  0.362],9.952294801153894
data/drug_release/82..csv,weibull,[3.934 0.933],3.246532002519163
data/drug_release/82..csv,reciprocal,[34.418  0.34 ],3.8963054758079982
data/drug_release/83..csv,zero_order,[2.194],14.699155757671019
data/drug_release/83..csv,first_order,[0.067],4.067189122083212
data/drug_release/83..csv,higuchi,[13.321],3.3955540961251076
data/drug_release/83..csv,korsmeyer_Peppas,[14.469  0.473],3.4238040875286875
data/drug_release/83..csv,weibull,[8.798 0.751],1.4663728399770704
data/drug_release/83..csv,reciprocal,[9.272 0.088],1.146233401417522
data/drug_release/84..csv,zero_order,[2.153],14.786972576057828
data/drug_release/84..csv,first_order,[0.067],3.130059968402344
data/drug_release/84..csv,higuchi,[13.084],5.136649835144469
data/drug_release/84..csv,korsmeyer_Peppas,[13.873  0.481],5.169397171231191
data/drug_release/84..csv,weibull,[9.553 0.781],2.6408656388115164
data/drug_release/84..csv,reciprocal,[9.154 0.088],1.7075721733970488
data/drug_release/85..csv,zero_order,[2.546],22.36697831413653
data/drug_release/85..csv,first_order,[0.126],6.114653022542598
data/drug_release/85..csv,higuchi,[16.319],7.376539037724048
data/drug_release/85..csv,korsmeyer_Peppas,[25.639  0.349],3.266610423026275
data/drug_release/85..csv,weibull,[4.208 0.616],1.8464579149140954
data/drug_release/85..csv,reciprocal,[18.857  0.187],3.2846629163124916
data/drug_release/86..csv,zero_order,[4.643],25.68725410495712
data/drug_release/86..csv,first_order,[0.241],3.305880587923159
data/drug_release/86..csv,higuchi,[22.187],10.16609662288949
data/drug_release/86..csv,korsmeyer_Peppas,[32.643  0.335],8.134318632272889
data/drug_release/86..csv,weibull,[3.415 0.818],3.3483940448218514
data/drug_release/86..csv,reciprocal,[36.416  0.366],3.2953274877619982
data/drug_release/87..csv,zero_order,[5.655],34.908887896240785
data/drug_release/87..csv,first_order,[0.396],2.8708311034761724
data/drug_release/87..csv,higuchi,[27.675],15.618521507707545
data/drug_release/87..csv,korsmeyer_Peppas,[43.337  0.308],12.430910939318085
data/drug_release/87..csv,weibull,[2.817 1.117],2.9868742705471427
data/drug_release/87..csv,reciprocal,[53.488  0.453],5.285136723901878
data/drug_release/88..csv,zero_order,[5.864],40.85795949284724
data/drug_release/88..csv,first_order,[0.52],3.1589312649158914
data/drug_release/88..csv,higuchi,[29.519],19.892437990453097
data/drug_release/88..csv,korsmeyer_Peppas,[51.147  0.263],13.282796203369786
data/drug_release/88..csv,weibull,[2.137 1.138],2.7162840206123122
data/drug_release/88..csv,reciprocal,[72.882  0.62 ],5.652972286211098
data/drug_release/89..csv,zero_order,[2.224],14.456826970021977
data/drug_release/89..csv,first_order,[0.066],3.5858295408897165
data/drug_release/89..csv,higuchi,[13.265],4.454841066649418
data/drug_release/89..csv,korsmeyer_Peppas,[13.403  0.497],4.46858821927484
data/drug_release/89..csv,weibull,[9.639 0.786],1.962615020872282
data/drug_release/89..csv,reciprocal,[8.911 0.083],1.2845344111964037
data/drug_release/91..csv,zero_order,[2.193],15.143290522097717
data/drug_release/91..csv,first_order,[0.069],3.095635745957341
data/drug_release/91..csv,higuchi,[13.177],5.806169462347448
data/drug_release/91..csv,korsmeyer_Peppas,[13.665  0.488],5.814563187837888
data/drug_release/91..csv,weibull,[9.71  0.795],2.9495046941856486
data/drug_release/91..csv,reciprocal,[9.242 0.088],2.0846030597631393
data/drug_release/92..csv,zero_order,[2.245],15.270211331911641
data/drug_release/92..csv,first_order,[0.071],2.6024935826096796
data/drug_release/92..csv,higuchi,[13.488],5.502460397770211
data/drug_release/92..csv,korsmeyer_Peppas,[13.996  0.488],5.497290680212792
data/drug_release/92..csv,weibull,[9.82  0.817],2.4688035666015384
data/drug_release/92..csv,reciprocal,[9.314 0.086],1.7566307527914795
data/drug_release/94..csv,zero_order,[0.511],0.8509969037126337
data/drug_release/94..csv,first_order,[0.005],0.8438963069125238
data/drug_release/94..csv,higuchi,[1.271],0.3613180718925836
data/drug_release/94..csv,korsmeyer_Peppas,[1.742 0.286],0.12221014033476589
data/drug_release/94..csv,weibull,[56.872  0.289],0.12195695650636224
data/drug_release/94..csv,reciprocal,[3.573 1.071],0.10152027774037255
data/drug_release/95..csv,zero_order,[0.432],0.5211992797349856
data/drug_release/95..csv,first_order,[0.004],0.515991664199609
data/drug_release/95..csv,higuchi,[1.038],0.1573372527913716
data/drug_release/95..csv,korsmeyer_Peppas,[1.102 0.461],0.15114310665860461
data/drug_release/95..csv,weibull,[90.328  0.465],0.15058413501113183
data/drug_release/95..csv,reciprocal,[1.451 0.408],0.1384929561473352
data/drug_release/96..csv,zero_order,[0.139],0.12857803294186707
data/drug_release/96..csv,first_order,[0.001],0.12804419748561924
data/drug_release/96..csv,higuchi,[0.329],0.030504708718931045
data/drug_release/96..csv,korsmeyer_Peppas,[0.311 0.538],0.02917561097673825
data/drug_release/96..csv,weibull,[300.      0.501],0.028859922888399614
data/drug_release/96..csv,reciprocal,[0.363 0.275],0.02308735014229133
data/drug_release/97..csv,zero_order,[0.197],0.19313589931101896
data/drug_release/97..csv,first_order,[0.002],0.19206154796208796
data/drug_release/97..csv,higuchi,[0.469],0.032383896014181804
data/drug_release/97..csv,korsmeyer_Peppas,[0.462 0.509],0.03386694002275096
data/drug_release/97..csv,weibull,[215.908   0.511],0.033821509163846575
data/drug_release/97..csv,reciprocal,[0.551 0.308],0.03806942684000578
data/drug_release/98..csv,zero_order,[2.458],23.023515692793076
data/drug_release/98..csv,first_order,[0.141],6.590891471508005
data/drug_release/98..csv,higuchi,[16.166],9.293684751382873
data/drug_release/98..csv,korsmeyer_Peppas,[28.735  0.306],4.0907499718824685
data/drug_release/98..csv,weibull,[3.521 0.543],1.9269481528696426
data/drug_release/98..csv,reciprocal,[23.794  0.258],2.314089818163341
data/drug_release/99..csv,zero_order,[2.179],15.349752817242953
data/drug_release/99..csv,first_order,[0.065],4.055105891356019
data/drug_release/99..csv,higuchi,[13.25],4.6347926204833145
data/drug_release/99..csv,korsmeyer_Peppas,[13.776  0.488],4.591630916992644
data/drug_release/99..csv,weibull,[9.434 0.776],1.923949509380935
data/drug_release/99..csv,reciprocal,[8.967 0.084],1.2370144824422205
data/drug_release/100..csv,zero_order,[2.149],14.461651844801374
data/drug_release/100..csv,first_order,[0.065],2.9472352332334193
data/drug_release/100..csv,higuchi,[12.956],5.194014605434094
data/drug_release/100..csv,korsmeyer_Peppas,[13.361  0.49 ],5.2180087504558434
data/drug_release/100..csv,weibull,[10.056  0.793],2.7098974030765315
data/drug_release/100..csv,reciprocal,[8.777 0.083],1.854035106113688
data/drug_release/101..csv,zero_order,[3.467],5.341183781935995
data/drug_release/101..csv,first_order,[0.054],1.2787784329161198
data/drug_release/101..csv,higuchi,[14.081],3.3190337887634964
data/drug_release/101..csv,korsmeyer_Peppas,[8.848 0.671],0.16096506363558283
